a1,a2,a3,a4,a5,a6,a7,n1,n2,t_half_Lead,v_max_Lead,t_half_Lagg,v_max_Lagg,LeadRecruitError,LaggRecruitError,CytoError,LeadRecoveryError,LaggRecoveryError,mmh
0.6704921759,0.5219263979,0.6586588095,25.9726172,95.35792012,0.01302271274,1.28E-02,1.052421934,0.9940453311,11.99415527,1.236994256,13.79600527,1.161737119,0.07136453508,0.115159055,0.1335837096,2.027002764,2.206365391,1
0.5227135845,0.4531667713,0.5778689062,0.9385655436,838636213561,0.003158655934,0.0009802339812,1.110487806,0.9940632708,15.3157863,1.277974411,15.94156811,1.182724764,0.07209756975,0.100591043,0.1230676388,1.169291577,3.113936744,1
0.5585384531,0.5445838086,14.03251947,3.032614129,0.1600422288,0.05324170012,0.06200918601,1.102353981,1.866159056,14.28256219,1.249588754,13.70832567,1.311333659,0.109791607,0.1750848523,0.2458961253,1.228813771,0.8822519471,1
0.6641482685,0.6633804204,0.8824249864,19.85970632,13.80490153,0.002297938612,5.15E-15,1.055680255,1.016340704,11.94637605,1.224147394,10.86710703,1.14391021,0.08721497806,0.1313738441,0.1278038923,1.896535995,1.210691491,1
0.3463259192,0.47283479,2.006341675,0.4003965774,0.3135700919,0.002193829146,2.84E-13,1.206471322,1.341000163,22.81641608,1.345145589,15.78592626,1.236112252,0.09569291401,0.06193017769,0.1615103884,2.738598626,2.205679061,1
0.6994117691,0.5018593814,1.088865576,10.85398212,0.5736995777,0.003013214577,0.000573299959,1.038678044,1.141671991,11.02214964,1.187487647,14.35790653,1.183033698,0.1230448267,0.1921394621,0.1794421356,2.03290173,2.20255801,1
0.5879646005,0.6165508762,1.363442445,49216284659,0.8140536202,0.007864215156,0.007062245821,1.095799555,1.170332928,14.05410616,1.284712916,12.69201151,1.238923392,0.1403313087,0.09022241076,0.2288396961,1.493030563,0.8994549683,1
0.5409782747,0.5114061893,0.6391145601,0.9984775708,4.95E+08,0.002380535137,8.56E-10,1.099100168,0.9905701394,14.70348215,1.278196059,13.79663356,1.140058206,0.1953718798,0.1640352509,0.1392613631,1.241119374,2.56290604,1
0.5103062639,0.4963662623,0.6317031654,1.292349344,7.323373637,0.002772430496,0.000763695864,1.124056304,0.9902623598,16.06075382,1.293661328,14.2934019,1.161460595,0.1274177017,0.1863468257,0.1279862316,1.168748982,2.511437369,1
0.4447274147,0.6789334787,0.8801867869,0.9304281115,565956.6978,0.003340052952,0.001382272602,1.158902747,1.012075916,19.65086427,1.42681,10.32790053,1.11242573,0.1965602851,0.2429602086,0.1514281814,1.089224027,1.414390593,1
0.7112369689,0.7991434308,1.10075122,16.89105693,192.4467311,0.01019779987,9.51E-03,1.0332562,1.035222508,11.03583604,1.206829069,9.15529282,1.130705932,0.110386083,0.1555205118,0.1672439443,2.216155258,1.500419611,1
0.6671591915,0.5201579089,0.6501502992,139.9145848,2.23E+16,0.002302698338,6.76E-15,1.054981489,0.9913640817,12.07629017,1.241674248,13.72132189,1.154584021,0.07122456502,0.1309287186,0.129948596,2.039707379,2.278984,1
0.7357287278,0.5163686461,2.50572173,1572264532,0.2826401039,0.0195078012,2.05E-02,1.022390682,1.379154135,10.30111398,1.176672554,14.59979885,1.23426201,0.1753707651,0.0583696445,0.2092645215,2.29834519,1.576327802,1
0.6966762036,0.4371919087,2.321224148,150.6817077,0.2699354678,0.005246635262,0.003078082508,1.041695579,1.404616848,11.38568787,1.232809279,17.42357177,1.273205495,0.2257125824,0.06703422443,0.1941489347,2.348546685,2.583431603,1
0.5526465078,0.4979589529,0.7484904124,1.187303346,2.086778226,0.002252389983,1.22E-05,1.098704128,1.048985268,14.63125191,1.287332695,14.47954836,1.161382986,0.08613214702,0.2163161218,0.2004312069,1.305976015,2.622110817,1
